iter	Passed	Remaining
935	32560	71800
936	32676	71943
937	32700	71885
938	32718	71814
939	32734	71736
940	32752	71665
941	32770	71594
942	32892	71749
943	32915	71688
944	32937	71625
945	32955	71555
946	32970	71476
947	32983	71394
948	33085	71504
949	33112	71454
950	33135	71392
951	33154	71324
952	33171	71250
953	33187	71175
954	33201	71095
955	33213	71011
956	33277	71039
957	33341	71067
958	33359	70997
959	33377	70927
960	33394	70854
961	33408	70776
962	33420	70692
963	33473	70696
964	33541	70732
965	33562	70668
966	33578	70593
967	33594	70521
968	33610	70445
969	33626	70373
970	33733	70489
971	33754	70425
972	33770	70352
973	33786	70279
974	33802	70204
975	33815	70125
976	33828	70045
977	33842	69969
978	33947	70079
979	33967	70014
980	33986	69948
981	34003	69875
982	34018	69801
983	34030	69721
984	34044	69644
985	34151	69757
986	34172	69695
987	34189	69625
988	34207	69556
989	34226	69490
990	34242	69418
991	34306	69443
992	34368	69463
993	34388	69399
994	34407	69334
995	34425	69265
996	34442	69196
997	34458	69123
998	34569	69243
999	34595	69190
1000	34616	69129
1001	34634	69061
1002	34652	68993
1003	34668	68923
1004	34686	68854
1005	34762	68902
1006	34818	68911
1007	34843	68857
1008	34865	68797
1009	34882	68729
1010	34901	68663
1011	35019	68793
1012	35039	68730
1013	35058	68664
1014	35074	68594
1015	35089	68522
1016	35104	68448
1017	35208	68549
1018	35236	68501
1019	35258	68442
1020	35275	68375
1021	35292	68305
1022	35308	68236
1023	35323	68163
1024	35340	68094
1025	35433	68173
1026	35451	68107
1027	35470	68042
1028	35488	67975
1029	35502	67902
1030	35516	67828
1031	35624	67935
1032	35644	67872
1033	35660	67802
1034	35676	67732
1035	35691	67662
1036	35799	67766
1037	35820	67706
1038	35838	67641
1039	35855	67574
1040	35873	67507
1041	35889	67438
1042	35902	67364
1043	36004	67457
1044	36030	67405
1045	36050	67344
1046	36069	67282
1047	36085	67213
1048	36100	67141
1049	36132	67103
1050	36210	67149
1051	36227	67082
1052	36243	67014
1053	36271	66968
1054	36357	67029
1055	36374	66962
1056	36391	66894
1057	36463	66930
1058	36510	66918
1059	36531	66859
1060	36551	66798
1061	36571	66737
1062	36589	66672
1063	36605	66605
1064	36712	66702
1065	36735	66648
1066	36754	66584
1067	36773	66522
1068	36790	66457
1069	36807	66390
1070	36938	66531
1071	37057	66647
1072	37107	66640
1073	37131	66587
1074	37153	66529
1075	37171	66466
1076	37190	66403
1077	37289	66484
1078	37314	66432
1079	37335	66374
1080	37355	66314
1081	37375	66254
1082	37393	66189
1083	37414	66131
1084	37516	66216
1085	37538	66158
