Date,Close/Last,Volume,Open,High,Low
1/17/2020,$144.33 ,10355330,$145.54 ,$145.64 ,$144.01 
1/16/2020,$145.12 ,6948369,$145.09 ,$145.43 ,$144.44 
1/15/2020,$144.32 ,6818180,$145.71 ,$145.71 ,$143.93 
1/14/2020,$145.20 ,14846350,$143.41 ,$146.72 ,$142.29 
1/13/2020,$143.88 ,9926387,$144.75 ,$144.75 ,$143.36 
1/10/2020,$144.62 ,5154850,$145.30 ,$145.50 ,$144.26 
1/9/2020,$144.83 ,6668201,$146.47 ,$146.63 ,$144.61 
1/8/2020,$145.40 ,6986395,$145.49 ,$146.13 ,$144.82 
1/7/2020,$145.70 ,6972813,$145.99 ,$146.87 ,$145.42 
1/6/2020,$145.65 ,8268374,$145.54 ,$146.03 ,$144.31 
1/3/2020,$146.50 ,7321837,$146.40 ,$147.90 ,$146.05 
1/2/2020,$148.20 ,9504711,$145.29 ,$148.20 ,$145.10 
12/31/2019,$144.63 ,5663965,$143.67 ,$144.77 ,$143.26 
12/30/2019,$143.77 ,6605481,$145.75 ,$145.87 ,$143.40 
12/27/2019,$145.75 ,5497500,$146.05 ,$146.51 ,$145.45 
12/26/2019,$145.70 ,4431113,$145.40 ,$145.86 ,$145.17 
12/24/2019,$145.29 ,3508541,$144.58 ,$145.43 ,$144.45 
12/23/2019,$144.68 ,9318682,$145.91 ,$146.33 ,$144.33 
12/20/2019,$146.88 ,12631870,$147.15 ,$147.88 ,$145.77 
12/19/2019,$146.15 ,10249310,$146.18 ,$146.80 ,$145.32 
12/18/2019,$146.26 ,9472498,$147.77 ,$147.95 ,$146.19 
12/17/2019,$147.73 ,8779665,$148.10 ,$148.46 ,$147.62 
12/16/2019,$148.46 ,9146339,$147.59 ,$148.65 ,$146.55 
12/13/2019,$146.38 ,9353254,$147.43 ,$147.80 ,$146.31 
12/12/2019,$147.76 ,7763316,$147.92 ,$148.93 ,$147.25 
12/11/2019,$147.59 ,8260750,$147.39 ,$147.89 ,$146.76 
12/10/2019,$146.10 ,7089746,$145.26 ,$146.85 ,$145.05 
12/9/2019,$146.21 ,11642040,$147.96 ,$148.52 ,$145.40 
12/6/2019,$147.66 ,7087551,$148.40 ,$148.61 ,$147.18 
12/5/2019,$147.44 ,7369731,$148.69 ,$148.83 ,$147.10 
12/4/2019,$148.28 ,7686996,$149.30 ,$149.33 ,$148.18 
12/3/2019,$148.58 ,9392732,$147.74 ,$149.11 ,$146.87 
12/2/2019,$150.62 ,10365740,$152.94 ,$152.97 ,$149.10 
11/29/2019,$151.58 ,6284938,$151.48 ,$152.47 ,$151.01 
11/27/2019,$151.48 ,6166318,$152.30 ,$152.57 ,$151.15 
11/26/2019,$151.64 ,24973010,$151.75 ,$153.41 ,$150.61 
11/25/2019,$149.69 ,11329310,$148.80 ,$150.21 ,$147.70 
11/22/2019,$148.29 ,9639428,$147.21 ,$149.44 ,$146.68 
11/21/2019,$146.90 ,6241359,$147.16 ,$147.47 ,$146.26 
11/20/2019,$146.93 ,9451314,$148.09 ,$148.99 ,$146.03 
11/19/2019,$148.38 ,11508730,$148.18 ,$149.48 ,$146.80 
11/18/2019,$147.65 ,15356970,$144.75 ,$149.04 ,$143.69 
11/15/2019,$144.67 ,13749340,$147.14 ,$147.20 ,$144.21 
11/14/2019,$147.15 ,28414290,$148.00 ,$150.63 ,$146.28 
11/13/2019,$148.72 ,46491400,$138.58 ,$149.92 ,$136.84 
11/12/2019,$138.58 ,17283990,$138.03 ,$139.34 ,$136.74 
11/11/2019,$136.74 ,10144900,$137.50 ,$138.56 ,$136.21 
11/8/2019,$137.96 ,24187460,$140.22 ,$140.25 ,$136.74 
11/7/2019,$132.96 ,18047600,$132.35 ,$133.70 ,$131.75 
11/6/2019,$131.27 ,9132465,$131.60 ,$131.66 ,$130.66 
11/5/2019,$131.45 ,7404474,$132.77 ,$132.77 ,$130.89 
11/4/2019,$132.92 ,7631780,$134.12 ,$134.14 ,$132.47 
11/1/2019,$132.75 ,8507567,$130.99 ,$132.80 ,$130.51 
10/31/2019,$129.92 ,9628296,$129.53 ,$130.15 ,$128.75 
10/30/2019,$129.60 ,10880050,$129.69 ,$130.31 ,$129.15 
10/29/2019,$129.48 ,9305072,$130.50 ,$130.77 ,$129.44 
10/28/2019,$130.53 ,8940309,$131.45 ,$132.08 ,$130.14 
10/25/2019,$130.90 ,6696035,$130.50 ,$131.76 ,$130.03 
10/24/2019,$130.26 ,6792298,$131.52 ,$131.70 ,$129.63 
10/23/2019,$131.13 ,7075669,$132.45 ,$132.68 ,$130.76 
10/22/2019,$132.40 ,10540840,$133.15 ,$133.68 ,$132.10 
10/21/2019,$130.26 ,7391094,$131.44 ,$131.73 ,$130.02 
10/18/2019,$130.89 ,8695515,$132.37 ,$133.16 ,$130.89 
10/17/2019,$132.37 ,8037035,$132.53 ,$133.44 ,$130.51 
10/16/2019,$130.86 ,7671898,$129.76 ,$131.83 ,$129.70 
10/15/2019,$129.76 ,5937287,$130.01 ,$130.89 ,$129.40 
10/14/2019,$129.70 ,3753018,$130.13 ,$130.30 ,$129.48 
10/11/2019,$130.02 ,6809765,$130.30 ,$130.99 ,$129.59 
10/10/2019,$129.34 ,4581018,$129.22 ,$130.14 ,$128.88 
10/9/2019,$129.33 ,5037437,$129.10 ,$129.85 ,$128.06 
10/8/2019,$128.47 ,6778174,$129.90 ,$130.04 ,$128.37 
10/7/2019,$130.90 ,5842436,$130.27 ,$131.57 ,$129.04 
10/4/2019,$130.27 ,6803210,$128.69 ,$130.44 ,$128.61 
10/3/2019,$128.15 ,8683717,$128.60 ,$129.43 ,$127.54 
10/2/2019,$129.14 ,8343560,$128.51 ,$129.22 ,$127.57 
10/1/2019,$129.55 ,6011451,$130.80 ,$131.78 ,$129.51 
9/30/2019,$130.32 ,5845989,$130.35 ,$130.86 ,$129.82 
9/27/2019,$129.96 ,8402934,$130.10 ,$131.00 ,$128.92 
9/26/2019,$131.27 ,11851670,$133.14 ,$133.30 ,$129.06 
9/25/2019,$133.09 ,6613058,$131.79 ,$133.42 ,$131.22 
9/24/2019,$131.97 ,11940340,$134.01 ,$134.15 ,$131.50 
9/23/2019,$132.46 ,6146871,$131.99 ,$132.89 ,$131.89 
9/20/2019,$132.27 ,25640030,$133.03 ,$133.23 ,$131.61 
9/19/2019,$133.30 ,12585400,$137.00 ,$137.36 ,$133.00 
9/18/2019,$136.80 ,6894548,$136.41 ,$137.07 ,$135.72 
9/17/2019,$136.31 ,4759951,$135.80 ,$136.73 ,$135.67 
9/16/2019,$135.80 ,6329260,$136.29 ,$137.24 ,$135.30 
9/13/2019,$138.02 ,5209146,$137.85 ,$138.22 ,$137.11 
9/12/2019,$137.50 ,7333931,$136.84 ,$138.67 ,$136.54 
9/11/2019,$136.19 ,7896359,$135.56 ,$136.24 ,$134.93 
9/10/2019,$135.79 ,10974580,$138.12 ,$138.44 ,$134.58 
9/9/2019,$138.83 ,5458689,$139.58 ,$140.08 ,$138.48 
9/6/2019,$139.55 ,4089995,$139.13 ,$139.81 ,$138.25 
9/5/2019,$138.84 ,5145232,$138.92 ,$139.27 ,$138.32 
9/4/2019,$137.89 ,4302805,$136.74 ,$138.20 ,$136.39 
9/3/2019,$136.31 ,5998686,$136.37 ,$136.42 ,$135.06 
8/30/2019,$137.26 ,5624066,$138.29 ,$138.50 ,$136.77 
8/29/2019,$137.84 ,6536300,$138.12 ,$138.68 ,$137.42 
8/28/2019,$136.55 ,5957541,$134.06 ,$136.73 ,$133.52 
8/27/2019,$134.49 ,6015348,$135.77 ,$135.99 ,$134.19 
8/26/2019,$134.61 ,8101688,$134.19 ,$134.64 ,$132.55 
8/23/2019,$131.67 ,10197690,$135.51 ,$136.44 ,$131.02 
8/22/2019,$136.08 ,6968278,$136.20 ,$136.67 ,$134.69 
8/21/2019,$135.76 ,6326629,$134.61 ,$136.06 ,$134.05 
8/20/2019,$135.13 ,8628920,$133.33 ,$136.04 ,$133.26 
8/19/2019,$135.29 ,11741800,$136.79 ,$137.62 ,$134.28 
8/16/2019,$135.20 ,6353770,$134.02 ,$135.50 ,$133.83 
8/15/2019,$133.41 ,7590114,$133.50 ,$134.28 ,$132.47 
8/14/2019,$132.85 ,11797670,$135.06 ,$135.15 ,$132.68 
8/13/2019,$137.01 ,8196997,$135.00 ,$137.92 ,$135.00 
8/12/2019,$135.75 ,7918904,$137.31 ,$137.57 ,$135.23 
8/9/2019,$138.52 ,8811869,$137.10 ,$139.24 ,$136.76 
8/8/2019,$137.89 ,14054760,$137.90 ,$138.00 ,$136.01 
8/7/2019,$134.86 ,29084490,$134.93 ,$135.87 ,$132.26 
8/6/2019,$141.87 ,18818880,$140.41 ,$141.95 ,$138.37 
8/5/2019,$138.30 ,10669680,$139.14 ,$140.23 ,$137.03 
8/2/2019,$141.71 ,6539050,$140.99 ,$142.22 ,$139.94 
8/1/2019,$141.85 ,8911657,$143.34 ,$144.53 ,$141.26 
7/31/2019,$143.01 ,9710669,$144.99 ,$145.00 ,$142.34 
7/30/2019,$144.93 ,6563058,$145.76 ,$146.80 ,$144.61 
7/29/2019,$146.39 ,11674110,$145.59 ,$147.15 ,$145.17 
7/26/2019,$144.65 ,8139402,$143.74 ,$145.19 ,$143.05 
7/25/2019,$143.21 ,7294375,$141.40 ,$143.23 ,$141.05 
7/24/2019,$141.29 ,5896610,$141.40 ,$141.59 ,$140.40 
7/23/2019,$141.26 ,7514525,$141.65 ,$142.54 ,$140.27 
7/22/2019,$140.84 ,7707699,$141.25 ,$141.44 ,$140.01 
7/19/2019,$139.85 ,6109874,$142.24 ,$142.24 ,$139.74 
7/18/2019,$141.63 ,8035481,$142.46 ,$142.46 ,$140.17 
