iter	Passed	Remaining
689	10405	1658
690	10420	1643
691	10435	1628
692	10450	1613
693	10463	1598
694	10481	1583
695	10497	1568
696	10511	1553
697	10526	1538
698	10542	1523
699	10556	1508
700	10570	1492
701	10584	1477
702	10598	1462
703	10612	1447
704	10626	1432
705	10642	1416
706	10657	1401
707	10672	1386
708	10685	1371
709	10699	1356
710	10716	1341
711	10731	1326
712	10749	1311
713	10762	1296
714	10777	1281
715	10793	1266
716	10806	1250
717	10823	1236
718	10837	1220
719	10853	1205
720	10867	1190
721	10881	1175
722	10895	1160
723	10911	1145
724	10925	1130
725	10939	1115
726	10954	1099
727	10970	1085
728	10988	1070
729	11005	1055
730	11021	1040
731	11036	1025
732	11050	1010
733	11065	994
734	11080	979
735	11097	964
736	11112	949
737	11128	934
738	11145	919
739	11161	904
740	11178	890
741	11194	875
742	11210	860
743	11225	844
744	11240	829
745	11255	814
746	11269	799
747	11296	785
748	11319	770
749	11339	755
750	11355	740
751	11375	726
752	11392	711
753	11410	696
754	11427	681
755	11443	666
756	11460	650
757	11475	635
758	11487	620
759	11502	605
760	11517	590
761	11533	575
762	11547	559
763	11561	544
764	11577	529
765	11594	514
766	11607	499
767	11621	484
768	11637	469
769	11654	454
770	11670	438
771	11685	423
772	11696	408
773	11708	393
774	11727	378
775	11748	363
776	11770	348
777	11792	333
778	11812	318
779	11830	303
780	11847	288
781	11863	273
782	11878	257
783	11892	242
784	11907	227
785	11921	212
786	11939	197
787	11953	182
788	11966	166
789	11980	151
790	11996	136
791	12009	121
792	12026	106
793	12040	90
794	12055	75
795	12069	60
796	12085	45
797	12101	30
798	12116	15
799	12131	0
